split_time_Biathlon_WORLD CUP_Oestersund (SWE)_Men 10km Sprint_2024-2025,"[""\u2192 Shooting 2""]"
split_time_Biathlon_WORLD CUP_Hochfilzen (AUT)_Men 10km Sprint_2025-2026,"[""\u2192 Shooting 4""]"
split_time_Biathlon_WORLD CUP_Antholz-Anterselva (ITA)_Men 10km Sprint_2025-2026,"[""\u2192 Shooting 1""]"
split_time_Biathlon_WORLD CUP_Nove Mesto Na Morave (CZE)_Men 20km Individual_2025-2026,"[""\u2192 Shooting 1""]"
split_time_Biathlon_WORLD CUP_Nove Mesto Na Morave (CZE)_Men 10km Sprint_2025-2026,"[""""]"
split_time_Biathlon_WORLD CUP_Ruhpolding (GER)_Poursuite hommes_2025-2026,"[""Finish""]"
split_time_Biathlon_WORLD CUP_Ruhpolding (GER)_Men 10km Sprint_2025-2026,"[""""]"
split_time_Biathlon_WORLD CUP_Oslo holmenkollen (NOR)_Men 10km Sprint_2022-2023,"[""1.4km (PT)""]"
split_time_Biathlon_WORLD CUP_Nove Mesto Na Morave (CZE)_Men 10km Sprint_2022-2023,"[""""]"
split_time_Biathlon_WORLD CUP_Oestersund (SWE)_Men 10km Sprint_2023-2024,"[""1.7km (PT)""]"
split_time_Biathlon_WORLD CUP_Oberhof (GER)_Men 10km Sprint_2022-2023,"[""0.6km""]"
split_time_Biathlon_WORLD CUP_Lenzerheide (SUI)_Women 7.5km Sprint_2023-2024,"[""0.6km (PT)""]"
split_time_Biathlon_WORLD CUP_Lenzerheide (SUI)_Men 10km Sprint_2023-2024,"[""0.6km (PT)""]"
split_time_Biathlon_IBU CUP_Kontiolahti (FIN)_Men 10km Sprint_2023-2024,"[""0.7km (PT)"", ""1.0km"", ""3.0km (PT)"", ""\u2192 Shooting 1"", ""Shooting 1"", ""4.0km (PT)"", ""4.3km"", ""6.3km (PT)"", ""\u2192 Shooting 2"", ""Shooting 2"", ""7.4km (PT)"", ""7.7km"", ""9.7km (PT)"", ""Finish"", ""Liste termin\u00e9e !""]"
split_time_Biathlon_IBU CUP_Kontiolahti (FIN)_Women 15km Individual_2023-2024,"[""0.7km (PT)"", ""1.0km"", ""2.7km (PT)"", ""\u2192 Shooting 1"", ""Shooting 1"", ""3.7km (PT)"", ""4.0km"", ""5.7km (PT)"", ""\u2192 Shooting 2"", ""Shooting 2"", ""6.7km (PT)"", ""7.0km"", ""8.7km (PT)"", ""\u2192 Shooting 3"", ""Shooting 3"", ""9.7km (PT)"", ""10.0km"", ""11.7km (PT)"", ""\u2192 Shooting 4"", ""Shooting 4"", ""12.7km (PT)"", ""13.0km"", ""14.7km (PT)"", ""Finish"", ""Liste termin\u00e9e !""]"
