split_time_Biathlon_Oberhof (GER)_Men 10km Sprint_2025-2026,"[""""]"
split_time_Biathlon_Oberhof (GER)_Men 10km Sprint_2024-2025,"[""""]"
split_time_Biathlon_Oestersund (SWE)_Men 10km Sprint_2024-2025,"[""\u2192 Shooting 2"", ""Shooting 2"", ""\u2192 Shooting 3"", ""Shooting 3"", ""\u2192 Shooting 4"", ""Shooting 4""]"
split_time_Biathlon_Hochfilzen (AUT)_Men 10km Sprint_2025-2026,"[""\u2192 Shooting 4"", ""Shooting 4"", ""Finish"", ""Liste termin\u00e9e !"", ""\u2192 Shooting 3"", ""Shooting 3""]"
split_time_Biathlon_Antholz-Anterselva (ITA)_Men 10km Sprint_2025-2026,"[""\u2192 Shooting 1"", ""Shooting 1"", ""\u2192 Shooting 2"", ""Shooting 2""]"
split_time_Biathlon_Nove Mesto Na Morave (CZE)_Men 20km Individual_2025-2026,"[""\u2192 Shooting 1"", ""Shooting 1"", ""\u2192 Shooting 2"", ""Shooting 2"", ""\u2192 Shooting 3"", ""Shooting 3"", ""\u2192 Shooting 4"", ""Shooting 4"", ""Finish"", ""Liste termin\u00e9e !""]"
split_time_Biathlon_Nove Mesto Na Morave (CZE)_Men 10km Sprint_2025-2026,"[""""]"
split_time_Biathlon_Ruhpolding (GER)_Poursuite hommes_2025-2026,"[""Finish""]"
split_time_Biathlon_Ruhpolding (GER)_Men 10km Sprint_2025-2026,"[""""]"
split_time_Biathlon_Oslo holmenkollen (NOR)_Men 10km Sprint_2022-2023,"[""1.4km (PT)"", ""1.7km"", ""2.5km (PT)"", ""2.7km"", ""\u2192 Shooting 1"", ""Shooting 1"", ""4.7km (PT)"", ""5.0km"", ""5.8km (PT)"", ""6.0km"", ""\u2192 Shooting 2"", ""Shooting 2"", ""8.1km (PT)"", ""8.4km"", ""9.2km (PT)"", ""9.4km"", ""Finish"", ""Liste termin\u00e9e !""]"
split_time_Biathlon_Nove Mesto Na Morave (CZE)_Men 10km Sprint_2022-2023,"[""""]"
split_time_Biathlon_Oestersund (SWE)_Men 10km Sprint_2023-2024,"[""1.7km (PT)"", ""2.1km"", ""2.5km (PT)"", ""2.9km"", ""\u2192 Shooting 1"", ""Shooting 1"", ""5.0km (PT)"", ""5.4km"", ""5.8km (PT)"", ""6.2km"", ""\u2192 Shooting 2"", ""Shooting 2"", ""8.4km (PT)"", ""8.8km"", ""9.2km (PT)"", ""9.6km"", ""Finish"", ""Liste termin\u00e9e !""]"
split_time_Biathlon_Oberhof (GER)_Men 10km Sprint_2022-2023,"[""0.6km"", ""1.7km (PT)"", ""1.9km"", ""2.5km"", ""3.0km (PT)"", ""\u2192 Shooting 1"", ""Shooting 1"", ""3.9km"", ""5.0km (PT)"", ""5.2km"", ""5.8km"", ""6.3km (PT)"", ""\u2192 Shooting 2"", ""Shooting 2"", ""7.3km"", ""8.4km (PT)"", ""8.6km"", ""9.2km"", ""9.7km (PT)"", ""Finish"", ""Liste termin\u00e9e !""]"
